5_ADMINISTRATIVE DATA_Security Classification,10_ADMINISTRATIVE DATA_Type of Action,102_ADMINISTRATIVE DATA_Agency Serial Number,103_ADMINISTRATIVE DATA_IRAC Docket Number,107_ADMINISTRATIVE DATA_Authorization Date,110_EMISSION CHARACTERISTICS_Frequency(ies)__freq,110_EMISSION CHARACTERISTICS_Frequency(ies)__band,110_EMISSION CHARACTERISTICS_Frequency(ies),113_EMISSION CHARACTERISTICS_Station Class,114_EMISSION CHARACTERISTICS_Emission Designator,115_EMISSION CHARACTERISTICS_Transmitter Power,116_EMISSION CHARACTERISTICS_Power Type,117_EMISSION CHARACTERISTICS_Effective Radiated Power,118_EMISSION CHARACTERISTICS_Power/ERP Augmentation,130_TIME/DATE INFORMATION_Time,140_TIME/DATE INFORMATION_Required Date,141_TIME/DATE INFORMATION_Expiration Date,142_TIME/DATE INFORMATION_Review Date,143_TIME/DATE INFORMATION_Revision Date,144_TIME/DATE INFORMATION_Approval Authority Indicator,147_TIME/DATE INFORMATION_Joint Agencies,200_ORGANIZATIONAL INFORMATION_Agency,201_ORGANIZATIONAL INFORMATION_Unified Command,202_ORGANIZATIONAL INFORMATION_Unified Command Service,203_ORGANIZATIONAL INFORMATION_Bureau,204_ORGANIZATIONAL INFORMATION_Command,205_ORGANIZATIONAL INFORMATION_Subcommand,206_ORGANIZATIONAL INFORMATION_InstallationManager   Frequency,207_ORGANIZATIONAL INFORMATION_Operating Unit,208_ORGANIZATIONAL INFORMATION_User Net/Code,209_ORGANIZATIONAL INFORMATION_AreaOtherAFC/DoDOrganizationsAFC,300_TRANSMITTER LOCATION DATA_State/Country,301_TRANSMITTER LOCATION DATA_Antenna Location,302_TRANSMITTER LOCATION DATA_Station Control,303_TRANSMITTER LOCATION DATA_Antenna Coordinates__ll,303_TRANSMITTER LOCATION DATA_Antenna Coordinates,304_TRANSMITTER LOCATION DATA_Call Sign,306_TRANSMITTER LOCATION DATA_Authorized Radius,340_TRANSMITTER EQUIPMENT_Equipment Nomenclature,"341_TRANSMITTER EQUIPMENT_NumberName   of Stations, System",342_TRANSMITTER EQUIPMENT_Aircraft Nautical Mile Value,343_TRANSMITTER EQUIPMENT_EquipmentIdentificationCertificationNumber,345_TRANSMITTER EQUIPMENT_Radar Tunability,346_TRANSMITTER EQUIPMENT_Pulse Duration,347_TRANSMITTER EQUIPMENT_Pulse Repetition Rate,349_TRANSMITTER ANTENNA DATA_Sidelobe Suppression,354_TRANSMITTER ANTENNA DATA_,355_TRANSMITTER ANTENNA DATA_Antenna Structure Nomenclature,356_TRANSMITTER ANTENNA DATA_Antenna Structure Height,357_TRANSMITTER ANTENNA DATA_Antenna Gain,358_TRANSMITTER ANTENNA DATA_Antenna Elevation,359_TRANSMITTER ANTENNA DATA_Antenna Feedpoint Height,360_TRANSMITTER ANTENNA DATA_Antenna Horizontal Beamwidth,361_TRANSMITTER ANTENNA DATA_Antenna Vertical Beamwidth,362_TRANSMITTER ANTENNA DATA_Antenna Orientation,373_TRANSMITTER ANTENNA DATA_JSC Area Code,400_RECEIVER LOCATION DATA_State/Country,401_RECEIVER LOCATION DATA_Antenna Location,402_RECEIVER LOCATION DATA_Receiver Control,403_RECEIVER LOCATION DATA_Antenna Coordinates,403_RECEIVER LOCATION DATA_Antenna Coordinates__ll,404_RECEIVER LOCATION DATA_Call Sign,406_RECEIVER LOCATION DATA_Authorized Radius,440_RECEIVER EQUIPMENT_Equipment Nomenclature,442_RECEIVER EQUIPMENT_Aircraft Nautical Mile Value,443_RECEIVER EQUIPMENT_EquipmentIdentificationCertificationNumber,454_RECEIVER ANTENNA DATA_Antenna Name,455_RECEIVER ANTENNA DATA_Antenna Nomenclature,456_RECEIVER ANTENNA DATA_Antenna Structure Height,457_RECEIVER ANTENNA DATA_Antenna Gain,458_RECEIVER ANTENNA DATA_Antenna Elevation,459_RECEIVER ANTENNA DATA_Antenna Feedpoint Height,460_RECEIVER ANTENNA DATA_Antenna Horizontal Beamwidth,461_RECEIVER ANTENNA DATA_Antenna Vertical Beamwidth,462_RECEIVER ANTENNA DATA_Antenna Orientation,463_RECEIVER ANTENNA DATA_Antenna Polarization,473_RECEIVER ANTENNA DATA_JSC Area Code,500_SUPPLEMENTARY DETAILS_IRAC Notes,501_SUPPLEMENTARY DETAILS_Notes free-text Comments,502_SUPPLEMENTARY DETAILS_Description of Requirement,503_SUPPLEMENTARY DETAILS_Agency Free-text Comments,506_DataNumberSFAFItem_Paired Frequency,511_DataNumberSFAFItem_Major Function Identifier,512_DataNumberSFAFItem_Intermediate Function Identifier,513_DataNumberSFAFItem_Detailed Function Identifier,520_DataNumberSFAFItem_Supplementary Details,701_OTHER ASSIGNMENT IDENTIFIERS_Frequency Action Officer,702_OTHER ASSIGNMENT IDENTIFIERS_Control/Request Number,803_ADDITIONAL INFORMATION_Requestor Data,901_ADDITIONAL INFORMATION_Record Status,911_ADDITIONAL INFORMATION_Date of Last Transaction,924_ADDITIONAL INFORMATION_Data Source Indicator,927_ADDITIONAL INFORMATION_Date of Entry,928_ADDITIONAL INFORMATION_Date of Receipt,956_ADDITIONAL INFORMATION_Agency Action Number,958_ADDITIONAL INFORMATION_Routine Agenda Item,963_ADDITIONAL INFORMATION_FCC File Number
UA ,N ,FCC 140E30 ,,20100209,859.5375,,M859.5375 ,"['FB2C ', 'FB2C ', 'FB2C ']","['20K0F2D ', '20K0F3E ', '20K0G7W ']","['W100.00000 ', 'W100.00000 ', 'W100.00000 ']",,"['60.00 ', '60.00 ', '60.00 ']",,,20101117,20200316,,20140719,,,FCC ,,,YX ,,,,,,,DE ,WOODSIDE ,,"39.070277777777775,-75.55638888888889",390413N0753323W ,WPPY673 ,,,,,,,,,,,,['122 '],,['15 '],['122 '],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NEXTEL COMMUNICATIONS OF THE MID-ATLANTIC, INC. ",I ,20190916,FCC ,20190916,,,,1165677
UA ,N ,FCC 140E32 ,,20100209,,"806.0, 821.0",M806-M821 ,"['MO ', 'MO ', 'MO ']","['20K0F2D ', '20K0F3E ', '20K0G7W ']","['W35.00000 ', 'W35.00000 ', 'W35.00000 ']",,"['50.00 ', '50.00 ', '50.00 ']",,,20101117,20200316,,20140719,,,FCC ,,,YX ,,,,,,,DE ,WOODSIDE ,,"39.070277777777775,-75.55638888888889",390413N0753323W ,WPPY673 ,56T ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NEXTEL COMMUNICATIONS OF THE MID-ATLANTIC, INC. ",I ,20190916,FCC ,20190916,,,,1165677
UA ,N ,FCC 0204EA ,,20100928,,"824.04, 834.99",M824.04-M834.99 ,,,,,['51.49 '],,,20180831,20201001,,20180831,,,FCC ,,,CL ,,,,,,,DE ,Frederica ,,"39.047777777777775,-75.45777777777778",390252N0752728W ,KNKN720 ,,,,,,,,,,,,"['45.7 ', '45.7 ', '45.7 ']",,"['7.6 ', '7.6 ', '7.6 ']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NEW CINGULAR WIRELESS PCS, LLC ",A ,20190916,FCC ,20190916,,,,13018
UA ,N ,FCC 0204EB ,,20100928,,"845.01, 846.48",M845.01-M846.48 ,,,,,['51.49 '],,,20180831,20201001,,20180831,,,FCC ,,,CL ,,,,,,,DE ,Frederica ,,"39.047777777777775,-75.45777777777778",390252N0752728W ,KNKN720 ,,,,,,,,,,,,"['45.7 ', '45.7 ', '45.7 ']",,"['7.6 ', '7.6 ', '7.6 ']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NEW CINGULAR WIRELESS PCS, LLC ",A ,20190916,FCC ,20190916,,,,13018
UA ,N ,FCC 0204ED ,,20100928,,"890.01, 891.48",M890.01-M891.48 ,,,,,['51.49 '],,,20180831,20201001,,20180831,,,FCC ,,,CL ,,,,,,,DE ,Frederica ,,"39.047777777777775,-75.45777777777778",390252N0752728W ,KNKN720 ,,,,,,,,,,,,"['45.7 ', '45.7 ', '45.7 ']",,"['7.6 ', '7.6 ', '7.6 ']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NEW CINGULAR WIRELESS PCS, LLC ",A ,20190916,FCC ,20190916,,,,13018
UA ,N ,FCC 0204EC ,,20100928,,"869.04, 879.99",M869.04-M879.99 ,,,,,['51.49 '],,,20180831,20201001,,20180831,,,FCC ,,,CL ,,,,,,,DE ,Frederica ,,"39.047777777777775,-75.45777777777778",390252N0752728W ,KNKN720 ,,,,,,,,,,,,"['45.7 ', '45.7 ', '45.7 ']",,"['7.6 ', '7.6 ', '7.6 ']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NEW CINGULAR WIRELESS PCS, LLC ",A ,20190916,FCC ,20190916,,,,13018
UA ,N ,FCC 0D3F6B ,,20020101,851.2125,,M851.2125 ,['FB2C '],['20K0F3E '],['W100.00000 '],,['60.00 '],,,20081114,20120206,,20100803,,,FCC ,,,YX ,,,,,,,DE ,RIVERVIEW ,,"39.048611111111114,-75.41972222222222",390255N0752511W ,WPLB923 ,,,,,,,,,,,,['0 '],,['0 '],['61 '],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NEXTEL COMMUNICATIONS OF THE MID-ATLANTIC, INC. ",I ,20190916,FCC ,20190916,,,,1157103
UA ,N ,FCC 0D3F6D ,,20020101,851.7625,,M851.7625 ,['FB2C '],['20K0F3E '],['W100.00000 '],,['53.98 '],,,20081114,20120206,,20100803,,,FCC ,,,YX ,,,,,,,DE ,RIVERVIEW ,,"39.048611111111114,-75.41972222222222",390255N0752511W ,WPLB923 ,,,,,,,,,,,,['0 '],,['0 '],['61 '],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NEXTEL COMMUNICATIONS OF THE MID-ATLANTIC, INC. ",I ,20190916,FCC ,20190916,,,,1157103
UA ,N ,FCC 0D3F6C ,,20020101,851.6125,,M851.6125 ,['FB2C '],['20K0F3E '],['W100.00000 '],,['60.00 '],,,20081114,20120206,,20100803,,,FCC ,,,YX ,,,,,,,DE ,RIVERVIEW ,,"39.048611111111114,-75.41972222222222",390255N0752511W ,WPLB923 ,,,,,,,,,,,,['0 '],,['0 '],['61 '],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NEXTEL COMMUNICATIONS OF THE MID-ATLANTIC, INC. ",I ,20190916,FCC ,20190916,,,,1157103
UA ,N ,FCC 0D3F6E ,,20020101,852.3125,,M852.3125 ,['FB2C '],['20K0F3E '],['W100.00000 '],,['60.00 '],,,20081114,20120206,,20100803,,,FCC ,,,YX ,,,,,,,DE ,RIVERVIEW ,,"39.048611111111114,-75.41972222222222",390255N0752511W ,WPLB923 ,,,,,,,,,,,,['0 '],,['0 '],['61 '],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NEXTEL COMMUNICATIONS OF THE MID-ATLANTIC, INC. ",I ,20190916,FCC ,20190916,,,,1157103
UA ,N ,FCC 0D3F6F ,,20020101,852.3875,,M852.3875 ,['FB2C '],['20K0F3E '],['W100.00000 '],,['56.99 '],,,20081114,20120206,,20100803,,,FCC ,,,YX ,,,,,,,DE ,RIVERVIEW ,,"39.048611111111114,-75.41972222222222",390255N0752511W ,WPLB923 ,,,,,,,,,,,,['0 '],,['0 '],['61 '],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NEXTEL COMMUNICATIONS OF THE MID-ATLANTIC, INC. ",I ,20190916,FCC ,20190916,,,,1157103
UA ,N ,FCC 0D3F70 ,,20020101,852.5125,,M852.5125 ,['FB2C '],['20K0F3E '],['W100.00000 '],,['60.00 '],,,20081114,20120206,,20100803,,,FCC ,,,YX ,,,,,,,DE ,RIVERVIEW ,,"39.048611111111114,-75.41972222222222",390255N0752511W ,WPLB923 ,,,,,,,,,,,,['0 '],,['0 '],['61 '],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NEXTEL COMMUNICATIONS OF THE MID-ATLANTIC, INC. ",I ,20190916,FCC ,20190916,,,,1157103
UA ,N ,FCC 0D3F72 ,,20020101,852.6625,,M852.6625 ,['FB2C '],['20K0F3E '],['W100.00000 '],,['53.98 '],,,20081114,20120206,,20100803,,,FCC ,,,YX ,,,,,,,DE ,RIVERVIEW ,,"39.048611111111114,-75.41972222222222",390255N0752511W ,WPLB923 ,,,,,,,,,,,,['0 '],,['0 '],['61 '],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NEXTEL COMMUNICATIONS OF THE MID-ATLANTIC, INC. ",I ,20190916,FCC ,20190916,,,,1157103
UA ,N ,FCC 0D3F71 ,,20020101,852.6375,,M852.6375 ,['FB2C '],['20K0F3E '],['W100.00000 '],,['60.00 '],,,20081114,20120206,,20100803,,,FCC ,,,YX ,,,,,,,DE ,RIVERVIEW ,,"39.048611111111114,-75.41972222222222",390255N0752511W ,WPLB923 ,,,,,,,,,,,,['0 '],,['0 '],['61 '],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NEXTEL COMMUNICATIONS OF THE MID-ATLANTIC, INC. ",I ,20190916,FCC ,20190916,,,,1157103
UA ,N ,FCC 0D3F75 ,,20020101,852.8125,,M852.8125 ,['FB2C '],['20K0F3E '],['W100.00000 '],,['56.99 '],,,20081114,20120206,,20100803,,,FCC ,,,YX ,,,,,,,DE ,RIVERVIEW ,,"39.048611111111114,-75.41972222222222",390255N0752511W ,WPLB923 ,,,,,,,,,,,,['0 '],,['0 '],['61 '],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NEXTEL COMMUNICATIONS OF THE MID-ATLANTIC, INC. ",I ,20190916,FCC ,20190916,,,,1157103
UA ,N ,FCC 0D3F73 ,,20020101,852.7625,,M852.7625 ,['FB2C '],['20K0F3E '],['W100.00000 '],,['60.00 '],,,20081114,20120206,,20100803,,,FCC ,,,YX ,,,,,,,DE ,RIVERVIEW ,,"39.048611111111114,-75.41972222222222",390255N0752511W ,WPLB923 ,,,,,,,,,,,,['0 '],,['0 '],['61 '],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NEXTEL COMMUNICATIONS OF THE MID-ATLANTIC, INC. ",I ,20190916,FCC ,20190916,,,,1157103
UA ,N ,FCC 0D3F76 ,,20020101,852.9625,,M852.9625 ,['FB2C '],['20K0F3E '],['W100.00000 '],,['56.99 '],,,20081114,20120206,,20100803,,,FCC ,,,YX ,,,,,,,DE ,RIVERVIEW ,,"39.048611111111114,-75.41972222222222",390255N0752511W ,WPLB923 ,,,,,,,,,,,,['0 '],,['0 '],['61 '],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NEXTEL COMMUNICATIONS OF THE MID-ATLANTIC, INC. ",I ,20190916,FCC ,20190916,,,,1157103
UA ,N ,FCC 0D3F78 ,,20020101,853.1375,,M853.1375 ,['FB2C '],['20K0F3E '],['W100.00000 '],,['60.00 '],,,20081114,20120206,,20100803,,,FCC ,,,YX ,,,,,,,DE ,RIVERVIEW ,,"39.048611111111114,-75.41972222222222",390255N0752511W ,WPLB923 ,,,,,,,,,,,,['0 '],,['0 '],['61 '],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NEXTEL COMMUNICATIONS OF THE MID-ATLANTIC, INC. ",I ,20190916,FCC ,20190916,,,,1157103
UA ,N ,FCC 0D3F74 ,,20020101,852.7875,,M852.7875 ,['FB2C '],['20K0F3E '],['W100.00000 '],,['60.00 '],,,20081114,20120206,,20100803,,,FCC ,,,YX ,,,,,,,DE ,RIVERVIEW ,,"39.048611111111114,-75.41972222222222",390255N0752511W ,WPLB923 ,,,,,,,,,,,,['0 '],,['0 '],['61 '],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NEXTEL COMMUNICATIONS OF THE MID-ATLANTIC, INC. ",I ,20190916,FCC ,20190916,,,,1157103
UA ,N ,FCC 0D3F77 ,,20020101,853.0875,,M853.0875 ,['FB2C '],['20K0F3E '],['W100.00000 '],,['60.00 '],,,20081114,20120206,,20100803,,,FCC ,,,YX ,,,,,,,DE ,RIVERVIEW ,,"39.048611111111114,-75.41972222222222",390255N0752511W ,WPLB923 ,,,,,,,,,,,,['0 '],,['0 '],['61 '],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NEXTEL COMMUNICATIONS OF THE MID-ATLANTIC, INC. ",I ,20190916,FCC ,20190916,,,,1157103
